,site,site_abbreviation,country,province,city,latitude,longitude,survey_date,plant_or_pans,n,Start.Number,End.Number,index,uniqueID,name,order,subclade,family,genus,species,sex
30,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_30,JCUJ,Hymenoptera,Anthophila,Halictidae,Halictus,rubicundus,female
31,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_31,JCUJ,,,,,,
32,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_32,JCUJ,Hymenoptera,not_Anthophila,Vespidae,Polistes,dominula,
33,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_33,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,pacificum ,female
34,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_34,JCUJ,,,,,,
35,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_35,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,caerulea,female
36,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_36,JCUJ,Hymenoptera,Anthophila,Apidae,Bombus,mixtus,female
37,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_37,JCUJ,Hymenoptera,not_Anthophila,Vespidae,Polistes,dominula,
38,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_38,JCUJ,,,,,,
39,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_39,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,inconditum,female
40,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_40,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,inconditum,female
41,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_41,JCUJ,,,,,,
42,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_42,JCUJ,Hymenoptera,Anthophila,Apidae,Bombus,melanopygus,male
